DIA,2018-11-30,252.15,262.97,242.71,255.51,253.73,Stay Long
FFTY,2018-11-30,31.41,32.34,28.16,30.72,30.41,PullingBack
GLD,2018-11-30,116.33,117.07,113.42,115.54,115.34,PullingBack
IWM,2018-11-30,150.89,157.90,145.59,152.62,152.04,PullingBack
QQQ,2018-11-30,170.08,175.58,157.13,169.37,167.36,Stay Long
RTH,2018-11-30,103.73,109.50,96.35,103.52,103.12,PullingBack
SLV,2018-11-30,13.72,14.01,13.11,13.32,13.48,PullingBack
SPY,2018-11-30,271.60,281.22,263.07,275.65,273.31,Stay Long
XLB,2018-11-30,53.57,56.03,52.68,54.61,54.44,PullingBack
XLC,2018-11-30,46.19,46.79,42.38,45.01,44.73,Stay Long
XLE,2018-11-30,67.30,70.37,63.44,66.11,66.64,PullingBack
XLF,2018-11-30,26.35,27.52,25.93,26.97,26.81,PullingBack
XLI,2018-11-30,70.17,73.54,69.08,72.54,71.72,Stay Long
XLK,2018-11-30,69.40,71.16,63.38,67.94,67.49,PullingBack
XLP,2018-11-30,55.13,57.00,54.42,56.26,55.89,Stay Long
XLU,2018-11-30,53.77,55.67,52.80,55.59,54.69,Stay Long
XLV,2018-11-30,89.00,95.87,88.67,95.87,93.47,Stay Long
XLY,2018-11-30,105.80,112.15,100.31,107.99,106.82,Stay Long
