CLR,2018-11-30,45.67,46.79,45.00,45.72,45.84,Pullback
FTNT,2018-11-30,73.95,75.07,72.66,73.84,73.86,Pullback
INCY,2018-11-30,64.84,65.50,63.55,64.25,64.43,Pullback
MGM,2018-11-30,27.23,27.33,26.74,26.96,27.01,Pullback
PANW,2018-11-30,184.45,192.00,171.26,172.95,178.74,Pullback
ROKU,2018-11-30,40.65,41.54,40.03,40.75,40.77,Pullback
X,2018-11-30,22.97,23.44,22.71,23.06,23.07,Pullback
FB,2018-11-30,138.26,140.97,137.36,140.61,139.65,Stay Long
FCX,2018-11-30,11.71,11.99,11.58,11.94,11.84,Stay Long
LVS,2018-11-30,54.21,55.13,53.78,54.94,54.62,Stay Long
MLNX,2018-11-30,92.22,93.47,91.94,92.83,92.75,Stay Long
MU,2018-11-30,37.75,38.63,36.94,38.56,38.04,Stay Long
NKE,2018-11-30,74.18,75.48,73.90,75.12,74.83,Stay Long
WYNN,2018-11-30,107.50,109.69,106.63,109.40,108.57,Stay Long
