CLR,2018-11-30,52.96,53.76,43.53,45.72,47.67,Pullback
FTNT,2018-11-30,82.20,84.00,64.65,73.84,74.16,Pullback
INCY,2018-11-30,65.05,70.00,61.52,64.25,65.26,Pullback
PANW,2018-11-30,184.50,192.27,160.08,172.95,175.10,Pullback
ROKU,2018-11-30,57.00,59.18,37.51,40.75,45.81,Pullback
X,2018-11-30,26.95,29.84,21.96,23.06,24.95,Pullback
MGM,2018-11-30,26.62,28.56,24.60,26.96,26.71,PullingBack
FB,2018-11-30,151.52,154.13,126.85,140.61,140.53,Stay Long
FCX,2018-11-30,11.86,12.69,10.71,11.94,11.78,Stay Long
LVS,2018-11-30,51.30,57.89,48.64,54.94,53.82,Stay Long
MLNX,2018-11-30,84.70,99.14,84.01,92.83,91.99,Stay Long
MU,2018-11-30,37.98,41.43,34.05,38.56,38.01,Stay Long
NKE,2018-11-30,75.23,78.59,69.52,75.12,74.41,Stay Long
WYNN,2018-11-30,101.41,114.83,96.00,109.40,106.74,Stay Long
