Symbol,Date,Open,High,Low,Close,Pivot,Trend
INCY,2018-11-30,65.50,68.14,63.55,64.25,65.31,Pullback
MGM,2018-11-30,26.39,27.99,26.27,26.96,27.07,Pullback
PANW,2018-11-30,168.53,192.00,165.34,172.95,176.76,Pullback
WYNN,2018-11-30,108.21,114.83,106.46,109.40,110.23,Pullback
X,2018-11-30,25.80,26.12,21.96,23.06,23.71,Pullback
CLR,2018-11-30,45.45,46.83,43.56,45.72,45.37,Stay Long
FB,2018-11-30,133.00,140.97,131.85,140.61,137.81,Stay Long
FCX,2018-11-30,10.75,12.00,10.71,11.94,11.55,Stay Long
FTNT,2018-11-30,69.21,75.07,68.63,73.84,72.51,Stay Long
LVS,2018-11-30,51.97,55.37,51.93,54.94,54.08,Stay Long
MU,2018-11-30,37.75,39.00,35.53,38.56,37.70,Stay Long
NKE,2018-11-30,72.34,75.48,71.30,75.12,73.97,Stay Long
ROKU,2018-11-30,40.64,41.97,37.51,40.75,40.08,Stay Long
